😀 grinning face	happy smile cheerful
🧔🏻 person: light skin tone, beard	human adult individual
🧔🏼 person: medium-light skin tone, beard	human adult individual
🧔🏽 person: medium skin tone, beard	human adult individual
🧔🏾 person: medium-dark skin tone, beard	human adult individual
🧔🏿 person: dark skin tone, beard	human adult individual
🧔‍♂️ man: beard
🧔🏻‍♂️ man: light skin tone, beard	male guy dude adult
🧔🏼‍♂️ man: medium-light skin tone, beard	male guy dude adult
🧔🏽‍♂️ man: medium skin tone, beard	male guy dude adult
🧔🏾‍♂️ man: medium-dark skin tone, beard	male guy dude adult
🧔🏿‍♂️ man: dark skin tone, beard	male guy dude adult
🧔‍♀️ woman: beard
🧔🏻‍♀️ woman: light skin tone, beard	female lady adult gal
🧔🏼‍♀️ woman: medium-light skin tone, beard	female lady adult gal
🧔🏽‍♀️ woman: medium skin tone, beard	female lady adult gal
🧔🏾‍♀️ woman: medium-dark skin tone, beard	female lady adult gal
🧔🏿‍♀️ woman: dark skin tone, beard	female lady adult gal
👨‍🦰 man: red hair
👨🏻‍🦰 man: light skin tone, red hair	male guy dude adult
👨🏼‍🦰 man: medium-light skin tone, red hair	male guy dude adult
👨🏽‍🦰 man: medium skin tone, red hair	male guy dude adult
👨🏾‍🦰 man: medium-dark skin tone, red hair	male guy dude adult
👨🏿‍🦰 man: dark skin tone, red hair	male guy dude adult
👨‍🦱 man: curly hair
👨🏻‍🦱 man: light skin tone, curly hair	male guy dude adult
👨🏼‍🦱 man: medium-light skin tone, curly hair	male guy dude adult
👨🏽‍🦱 man: medium skin tone, curly hair	male guy dude adult
👨🏾‍🦱 man: medium-dark skin tone, curly hair	male guy dude adult
👨🏿‍🦱 man: dark skin tone, curly hair	male guy dude adult
👨‍🦳 man: white hair
👨🏻‍🦳 man: light skin tone, white hair	male guy dude adult
👨🏼‍🦳 man: medium-light skin tone, white hair	male guy dude adult
👨🏽‍🦳 man: medium skin tone, white hair	male guy dude adult
👨🏾‍🦳 man: medium-dark skin tone, white hair	male guy dude adult
👨🏿‍🦳 man: dark skin tone, white hair	male guy dude adult
👨‍🦲 man: bald
👨🏻‍🦲 man: light skin tone, bald	male guy dude adult
👨🏼‍🦲 man: medium-light skin tone, bald	male guy dude adult
👨🏽‍🦲 man: medium skin tone, bald	male guy dude adult
👨🏾‍🦲 man: medium-dark skin tone, bald	male guy dude adult
👨🏿‍🦲 man: dark skin tone, bald	male guy dude adult
👩 woman	female lady adult gal
👩🏻 woman: light skin tone	female lady adult gal
👩🏼 woman: medium-light skin tone	female lady adult gal
👩🏽 woman: medium skin tone	female lady adult gal
👩🏾 woman: medium-dark skin tone	female lady adult gal
👩🏿 woman: dark skin tone	female lady adult gal
👩‍🦰 woman: red hair
👩🏻‍🦰 woman: light skin tone, red hair	female lady adult gal
👩🏼‍🦰 woman: medium-light skin tone, red hair	female lady adult gal
👩🏽‍🦰 woman: medium skin tone, red hair	female lady adult gal
👩🏾‍🦰 woman: medium-dark skin tone, red hair	female lady adult gal
👩🏿‍🦰 woman: dark skin tone, red hair	female lady adult gal
🧑‍🦰 person: red hair
🧑🏻‍🦰 person: light skin tone, red hair	human adult individual
🧑🏼‍🦰 person: medium-light skin tone, red hair	human adult individual
🧑🏽‍🦰 person: medium skin tone, red hair	human adult individual
🧑🏾‍🦰 person: medium-dark skin tone, red hair	human adult individual
🧑🏿‍🦰 person: dark skin tone, red hair	human adult individual
👩‍🦱 woman: curly hair
👩🏻‍🦱 woman: light skin tone, curly hair	female lady adult gal
👩🏼‍🦱 woman: medium-light skin tone, curly hair	female lady adult gal
👩🏽‍🦱 woman: medium skin tone, curly hair	female lady adult gal
👩🏾‍🦱 woman: medium-dark skin tone, curly hair	female lady adult gal
👩🏿‍🦱 woman: dark skin tone, curly hair	female lady adult gal
🧑‍🦱 person: curly hair
🧑🏻‍🦱 person: light skin tone, curly hair	human adult individual
🧑🏼‍🦱 person: medium-light skin tone, curly hair	human adult individual
🧑🏽‍🦱 person: medium skin tone, curly hair	human adult individual
🧑🏾‍🦱 person: medium-dark skin tone, curly hair	human adult individual
🧑🏿‍🦱 person: dark skin tone, curly hair	human adult individual
👩‍🦳 woman: white hair
👩🏻‍🦳 woman: light skin tone, white hair	female lady adult gal
👩🏼‍🦳 woman: medium-light skin tone, white hair	female lady adult gal
👩🏽‍🦳 woman: medium skin tone, white hair	female lady adult gal
👩🏾‍🦳 woman: medium-dark skin tone, white hair	female lady adult gal
👩🏿‍🦳 woman: dark skin tone, white hair	female lady adult gal
🧑‍🦳 person: white hair
🧑🏻‍🦳 person: light skin tone, white hair	human adult individual
🧑🏼‍🦳 person: medium-light skin tone, white hair	human adult individual
🧑🏽‍🦳 person: medium skin tone, white hair	human adult individual
🧑🏾‍🦳 person: medium-dark skin tone, white hair	human adult individual
🧑🏿‍🦳 person: dark skin tone, white hair	human adult individual
👩‍🦲 woman: bald
👩🏻‍🦲 woman: light skin tone, bald	female lady adult gal
👩🏼‍🦲 woman: medium-light skin tone, bald	female lady adult gal
👩🏽‍🦲 woman: medium skin tone, bald	female lady adult gal
👩🏾‍🦲 woman: medium-dark skin tone, bald	female lady adult gal
👩🏿‍🦲 woman: dark skin tone, bald	female lady adult gal
🧑‍🦲 person: bald
🧑🏻‍🦲 person: light skin tone, bald	human adult individual
🧑🏼‍🦲 person: medium-light skin tone, bald	human adult individual
🧑🏽‍🦲 person: medium skin tone, bald	human adult individual
🧑🏾‍🦲 person: medium-dark skin tone, bald	human adult individual
🧑🏿‍🦲 person: dark skin tone, bald	human adult individual
👱‍♀️ woman: blond hair
👱🏻‍♀️ woman: light skin tone, blond hair	female lady adult gal
👱🏼‍♀️ woman: medium-light skin tone, blond hair	female lady adult gal
👱🏽‍♀️ woman: medium skin tone, blond hair	female lady adult gal
👱🏾‍♀️ woman: medium-dark skin tone, blond hair	female lady adult gal
👱🏿‍♀️ woman: dark skin tone, blond hair	female lady adult gal
👱‍♂️ man: blond hair
👱🏻‍♂️ man: light skin tone, blond hair	male guy dude adult
👱🏼‍♂️ man: medium-light skin tone, blond hair	male guy dude adult
👱🏽‍♂️ man: medium skin tone, blond hair	male guy dude adult
👱🏾‍♂️ man: medium-dark skin tone, blond hair	male guy dude adult
👱🏿‍♂️ man: dark skin tone, blond hair	male guy dude adult
🧓 older person	senior elderly grandparent old
🧓🏻 older person: light skin tone	senior elderly grandparent old
🧓🏼 older person: medium-light skin tone	senior elderly grandparent old
🧓🏽 older person: medium skin tone	senior elderly grandparent old
🧓🏾 older person: medium-dark skin tone	senior elderly grandparent old
🧓🏿 older person: dark skin tone	senior elderly grandparent old
👴 old man	grandfather grandpa elder senior
👴🏻 old man: light skin tone	grandfather grandpa elder senior
👴🏼 old man: medium-light skin tone	grandfather grandpa elder senior
👴🏽 old man: medium skin tone	grandfather grandpa elder senior
👴🏾 old man: medium-dark skin tone	grandfather grandpa elder senior
👴🏿 old man: dark skin tone	grandfather grandpa elder senior
👵 old woman	grandmother grandma elder senior granny
👵🏻 old woman: light skin tone	grandmother grandma elder senior granny
👵🏼 old woman: medium-light skin tone	grandmother grandma elder senior granny
👵🏽 old woman: medium skin tone	grandmother grandma elder senior granny
👵🏾 old woman: medium-dark skin tone	grandmother grandma elder senior granny
👵🏿 old woman: dark skin tone	grandmother grandma elder senior granny
🙍 person frowning	sad unhappy upset disappointed
🙍🏻 person frowning: light skin tone	sad unhappy upset disappointed
🙍🏼 person frowning: medium-light skin tone	sad unhappy upset disappointed
🙍🏽 person frowning: medium skin tone	sad unhappy upset disappointed
🙍🏾 person frowning: medium-dark skin tone	sad unhappy upset disappointed
🙍🏿 person frowning: dark skin tone	sad unhappy upset disappointed
🙍‍♂️ man frowning	sad unhappy upset disappointed
🙍🏻‍♂️ man frowning: light skin tone	sad unhappy upset disappointed
🙍🏼‍♂️ man frowning: medium-light skin tone	sad unhappy upset disappointed
🙍🏽‍♂️ man frowning: medium skin tone	sad unhappy upset disappointed
🙍🏾‍♂️ man frowning: medium-dark skin tone	sad unhappy upset disappointed
🙍🏿‍♂️ man frowning: dark skin tone	sad unhappy upset disappointed
🙍‍♀️ woman frowning	sad unhappy upset disappointed
🙍🏻‍♀️ woman frowning: light skin tone	sad unhappy upset disappointed
🙍🏼‍♀️ woman frowning: medium-light skin tone	sad unhappy upset disappointed
🙍🏽‍♀️ woman frowning: medium skin tone	sad unhappy upset disappointed
🙍🏾‍♀️ woman frowning: medium-dark skin tone	sad unhappy upset disappointed
🙍🏿‍♀️ woman frowning: dark skin tone	sad unhappy upset disappointed
🙎 person pouting	mad angry upset grumpy
🙎🏻 person pouting: light skin tone	mad angry upset grumpy
🙎🏼 person pouting: medium-light skin tone	mad angry upset grumpy
🙎🏽 person pouting: medium skin tone	mad angry upset grumpy
🙎🏾 person pouting: medium-dark skin tone	mad angry upset grumpy
🙎🏿 person pouting: dark skin tone	mad angry upset grumpy
🙎‍♂️ man pouting	mad angry upset grumpy
🙎🏻‍♂️ man pouting: light skin tone	mad angry upset grumpy
🙎🏼‍♂️ man pouting: medium-light skin tone	mad angry upset grumpy
🙎🏽‍♂️ man pouting: medium skin tone	mad angry upset grumpy
🙎🏾‍♂️ man pouting: medium-dark skin tone	mad angry upset grumpy
🙎🏿‍♂️ man pouting: dark skin tone	mad angry upset grumpy
🙎‍♀️ woman pouting	mad angry upset grumpy
🙎🏻‍♀️ woman pouting: light skin tone	mad angry upset grumpy
🙎🏼‍♀️ woman pouting: medium-light skin tone	mad angry upset grumpy
🙎🏽‍♀️ woman pouting: medium skin tone	mad angry upset grumpy
🙎🏾‍♀️ woman pouting: medium-dark skin tone	mad angry upset grumpy
🙎🏿‍♀️ woman pouting: dark skin tone	mad angry upset grumpy
🙅 person gesturing NO	no nope refuse reject stop deny
🙅🏻 person gesturing NO: light skin tone	no nope refuse reject stop deny
🙅🏼 person gesturing NO: medium-light skin tone	no nope refuse reject stop deny
🙅🏽 person gesturing NO: medium skin tone	no nope refuse reject stop deny
🙅🏾 person gesturing NO: medium-dark skin tone	no nope refuse reject stop deny
🙅🏿 person gesturing NO: dark skin tone	no nope refuse reject stop deny
🙅‍♂️ man gesturing NO	no nope refuse reject stop deny
🙅🏻‍♂️ man gesturing NO: light skin tone	no nope refuse reject stop deny
🙅🏼‍♂️ man gesturing NO: medium-light skin tone	no nope refuse reject stop deny
🙅🏽‍♂️ man gesturing NO: medium skin tone	no nope refuse reject stop deny
🙅🏾‍♂️ man gesturing NO: medium-dark skin tone	no nope refuse reject stop deny
🙅🏿‍♂️ man gesturing NO: dark skin tone	no nope refuse reject stop deny
🙅‍♀️ woman gesturing NO	no nope refuse reject stop deny
🙅🏻‍♀️ woman gesturing NO: light skin tone	no nope refuse reject stop deny
🙅🏼‍♀️ woman gesturing NO: medium-light skin tone	no nope refuse reject stop deny
🙅🏽‍♀️ woman gesturing NO: medium skin tone	no nope refuse reject stop deny
🙅🏾‍♀️ woman gesturing NO: medium-dark skin tone	no nope refuse reject stop deny
🙅🏿‍♀️ woman gesturing NO: dark skin tone	no nope refuse reject stop deny
🙆 person gesturing OK	yes sure okay fine approve
🙆🏻 person gesturing OK: light skin tone	yes sure okay fine approve
🙆🏼 person gesturing OK: medium-light skin tone	yes sure okay fine approve
🙆🏽 person gesturing OK: medium skin tone	yes sure okay fine approve
🙆🏾 person gesturing OK: medium-dark skin tone	yes sure okay fine approve
🙆🏿 person gesturing OK: dark skin tone	yes sure okay fine approve
🙆‍♂️ man gesturing OK	yes sure okay fine approve
🙆🏻‍♂️ man gesturing OK: light skin tone	yes sure okay fine approve
🙆🏼‍♂️ man gesturing OK: medium-light skin tone	yes sure okay fine approve
🙆🏽‍♂️ man gesturing OK: medium skin tone	yes sure okay fine approve
🙆🏾‍♂️ man gesturing OK: medium-dark skin tone	yes sure okay fine approve
🙆🏿‍♂️ man gesturing OK: dark skin tone	yes sure okay fine approve
🙆‍♀️ woman gesturing OK	yes sure okay fine approve
🙆🏻‍♀️ woman gesturing OK: light skin tone	yes sure okay fine approve
🙆🏼‍♀️ woman gesturing OK: medium-light skin tone	yes sure okay fine approve
🙆🏽‍♀️ woman gesturing OK: medium skin tone	yes sure okay fine approve
🙆🏾‍♀️ woman gesturing OK: medium-dark skin tone	yes sure okay fine approve
🙆🏿‍♀️ woman gesturing OK: dark skin tone	yes sure okay fine approve
💁 person tipping hand	sassy info actually well duh
💁🏻 person tipping hand: light skin tone	sassy info actually well duh
💁🏼 person tipping hand: medium-light skin tone	sassy info actually well duh
💁🏽 person tipping hand: medium skin tone	sassy info actually well duh
💁🏾 person tipping hand: medium-dark skin tone	sassy info actually well duh
💁🏿 person tipping hand: dark skin tone	sassy info actually well duh
💁‍♂️ man tipping hand	sassy info actually well duh
💁🏻‍♂️ man tipping hand: light skin tone	sassy info actually well duh
💁🏼‍♂️ man tipping hand: medium-light skin tone	sassy info actually well duh
💁🏽‍♂️ man tipping hand: medium skin tone	sassy info actually well duh
💁🏾‍♂️ man tipping hand: medium-dark skin tone	sassy info actually well duh
💁🏿‍♂️ man tipping hand: dark skin tone	sassy info actually well duh
💁‍♀️ woman tipping hand	sassy info actually well duh
💁🏻‍♀️ woman tipping hand: light skin tone	sassy info actually well duh
💁🏼‍♀️ woman tipping hand: medium-light skin tone	sassy info actually well duh
💁🏽‍♀️ woman tipping hand: medium skin tone	sassy info actually well duh
💁🏾‍♀️ woman tipping hand: medium-dark skin tone	sassy info actually well duh
💁🏿‍♀️ woman tipping hand: dark skin tone	sassy info actually well duh
🙋 person raising hand	question hi excuse-me yo here
🙋🏻 person raising hand: light skin tone	question hi excuse-me yo here
🙋🏼 person raising hand: medium-light skin tone	question hi excuse-me yo here
🙋🏽 person raising hand: medium skin tone	question hi excuse-me yo here
🙋🏾 person raising hand: medium-dark skin tone	question hi excuse-me yo here
🙋🏿 person raising hand: dark skin tone	question hi excuse-me yo here
🙋‍♂️ man raising hand	question hi excuse-me yo here
🙋🏻‍♂️ man raising hand: light skin tone	question hi excuse-me yo here
🙋🏼‍♂️ man raising hand: medium-light skin tone	question hi excuse-me yo here
🙋🏽‍♂️ man raising hand: medium skin tone	question hi excuse-me yo here
🙋🏾‍♂️ man raising hand: medium-dark skin tone	question hi excuse-me yo here
🙋🏿‍♂️ man raising hand: dark skin tone	question hi excuse-me yo here
🙋‍♀️ woman raising hand	question hi excuse-me yo here
🙋🏻‍♀️ woman raising hand: light skin tone	question hi excuse-me yo here
🙋🏼‍♀️ woman raising hand: medium-light skin tone	question hi excuse-me yo here
🙋🏽‍♀️ woman raising hand: medium skin tone	question hi excuse-me yo here
🙋🏾‍♀️ woman raising hand: medium-dark skin tone	question hi excuse-me yo here
🙋🏿‍♀️ woman raising hand: dark skin tone	question hi excuse-me yo here
🧏 deaf person
🧏🏻 deaf person: light skin tone
🧏🏼 deaf person: medium-light skin tone
🧏🏽 deaf person: medium skin tone
🧏🏾 deaf person: medium-dark skin tone
🧏🏿 deaf person: dark skin tone
🧏‍♂️ deaf man
🧏🏻‍♂️ deaf man: light skin tone
🧏🏼‍♂️ deaf man: medium-light skin tone
🧏🏽‍♂️ deaf man: medium skin tone
🧏🏾‍♂️ deaf man: medium-dark skin tone
🧏🏿‍♂️ deaf man: dark skin tone
🧏‍♀️ deaf woman
🧏🏻‍♀️ deaf woman: light skin tone
🧏🏼‍♀️ deaf woman: medium-light skin tone
🧏🏽‍♀️ deaf woman: medium skin tone
🧏🏾‍♀️ deaf woman: medium-dark skin tone
🧏🏿‍♀️ deaf woman: dark skin tone
🙇 person bowing	respect sorry thank bow apology
🙇🏻 person bowing: light skin tone	respect sorry thank bow apology
🙇🏼 person bowing: medium-light skin tone	respect sorry thank bow apology
🙇🏽 person bowing: medium skin tone	respect sorry thank bow apology
🙇🏾 person bowing: medium-dark skin tone	respect sorry thank bow apology
🙇🏿 person bowing: dark skin tone	respect sorry thank bow apology
🙇‍♂️ man bowing	respect sorry thank bow apology
🙇🏻‍♂️ man bowing: light skin tone	respect sorry thank bow apology
🙇🏼‍♂️ man bowing: medium-light skin tone	respect sorry thank bow apology
🙇🏽‍♂️ man bowing: medium skin tone	respect sorry thank bow apology
🙇🏾‍♂️ man bowing: medium-dark skin tone	respect sorry thank bow apology
🙇🏿‍♂️ man bowing: dark skin tone	respect sorry thank bow apology
🙇‍♀️ woman bowing	respect sorry thank bow apology
🙇🏻‍♀️ woman bowing: light skin tone	respect sorry thank bow apology
🙇🏼‍♀️ woman bowing: medium-light skin tone	respect sorry thank bow apology
🙇🏽‍♀️ woman bowing: medium skin tone	respect sorry thank bow apology
🙇🏾‍♀️ woman bowing: medium-dark skin tone	respect sorry thank bow apology
🙇🏿‍♀️ woman bowing: dark skin tone	respect sorry thank bow apology
🤦 person facepalming	facepalm smh really ugh duh stupid
🤦🏻 person facepalming: light skin tone	facepalm smh really ugh duh stupid
🤦🏼 person facepalming: medium-light skin tone	facepalm smh really ugh duh stupid
🤦🏽 person facepalming: medium skin tone	facepalm smh really ugh duh stupid
🤦🏾 person facepalming: medium-dark skin tone	facepalm smh really ugh duh stupid
🤦🏿 person facepalming: dark skin tone	facepalm smh really ugh duh stupid
🤦‍♂️ man facepalming	facepalm smh really ugh duh stupid
🤦🏻‍♂️ man facepalming: light skin tone	facepalm smh really ugh duh stupid
🤦🏼‍♂️ man facepalming: medium-light skin tone	facepalm smh really ugh duh stupid
🤦🏽‍♂️ man facepalming: medium skin tone	facepalm smh really ugh duh stupid
🤦🏾‍♂️ man facepalming: medium-dark skin tone	facepalm smh really ugh duh stupid
🤦🏿‍♂️ man facepalming: dark skin tone	facepalm smh really ugh duh stupid
🤦‍♀️ woman facepalming	facepalm smh really ugh duh stupid
🤦🏻‍♀️ woman facepalming: light skin tone	facepalm smh really ugh duh stupid
🤦🏼‍♀️ woman facepalming: medium-light skin tone	facepalm smh really ugh duh stupid
🤦🏽‍♀️ woman facepalming: medium skin tone	facepalm smh really ugh duh stupid
🤦🏾‍♀️ woman facepalming: medium-dark skin tone	facepalm smh really ugh duh stupid
🤦🏿‍♀️ woman facepalming: dark skin tone	facepalm smh really ugh duh stupid
🤷 person shrugging	shrug idk whatever dunno who-knows
🤷🏻 person shrugging: light skin tone	shrug idk whatever dunno who-knows
🤷🏼 person shrugging: medium-light skin tone	shrug idk whatever dunno who-knows
🤷🏽 person shrugging: medium skin tone	shrug idk whatever dunno who-knows
🤷🏾 person shrugging: medium-dark skin tone	shrug idk whatever dunno who-knows
🤷🏿 person shrugging: dark skin tone	shrug idk whatever dunno who-knows
🤷‍♂️ man shrugging	shrug idk whatever dunno who-knows
🤷🏻‍♂️ man shrugging: light skin tone	shrug idk whatever dunno who-knows
🤷🏼‍♂️ man shrugging: medium-light skin tone	shrug idk whatever dunno who-knows
🤷🏽‍♂️ man shrugging: medium skin tone	shrug idk whatever dunno who-knows
🤷🏾‍♂️ man shrugging: medium-dark skin tone	shrug idk whatever dunno who-knows
🤷🏿‍♂️ man shrugging: dark skin tone	shrug idk whatever dunno who-knows
🤷‍♀️ woman shrugging	shrug idk whatever dunno who-knows
🤷🏻‍♀️ woman shrugging: light skin tone	shrug idk whatever dunno who-knows
🤷🏼‍♀️ woman shrugging: medium-light skin tone	shrug idk whatever dunno who-knows
🤷🏽‍♀️ woman shrugging: medium skin tone	shrug idk whatever dunno who-knows
🤷🏾‍♀️ woman shrugging: medium-dark skin tone	shrug idk whatever dunno who-knows
🤷🏿‍♀️ woman shrugging: dark skin tone	shrug idk whatever dunno who-knows
🧑‍⚕️ health worker
🧑🏻‍⚕️ health worker: light skin tone
🧑🏼‍⚕️ health worker: medium-light skin tone
🧑🏽‍⚕️ health worker: medium skin tone
🧑🏾‍⚕️ health worker: medium-dark skin tone
🧑🏿‍⚕️ health worker: dark skin tone
👨‍⚕️ man health worker
👨🏻‍⚕️ man health worker: light skin tone
👨🏼‍⚕️ man health worker: medium-light skin tone
👨🏽‍⚕️ man health worker: medium skin tone
👨🏾‍⚕️ man health worker: medium-dark skin tone
👨🏿‍⚕️ man health worker: dark skin tone
👩‍⚕️ woman health worker
👩🏻‍⚕️ woman health worker: light skin tone
👩🏼‍⚕️ woman health worker: medium-light skin tone
👩🏽‍⚕️ woman health worker: medium skin tone
👩🏾‍⚕️ woman health worker: medium-dark skin tone
👩🏿‍⚕️ woman health worker: dark skin tone
🧑‍🎓 student
🧑🏻‍🎓 student: light skin tone
🧑🏼‍🎓 student: medium-light skin tone
🧑🏽‍🎓 student: medium skin tone
🧑🏾‍🎓 student: medium-dark skin tone
🧑🏿‍🎓 student: dark skin tone
👨‍🎓 man student
👨🏻‍🎓 man student: light skin tone
👨🏼‍🎓 man student: medium-light skin tone
👨🏽‍🎓 man student: medium skin tone
👨🏾‍🎓 man student: medium-dark skin tone
👨🏿‍🎓 man student: dark skin tone
👩‍🎓 woman student
👩🏻‍🎓 woman student: light skin tone
👩🏼‍🎓 woman student: medium-light skin tone
👩🏽‍🎓 woman student: medium skin tone
👩🏾‍🎓 woman student: medium-dark skin tone
👩🏿‍🎓 woman student: dark skin tone
🧑‍🏫 teacher
🧑🏻‍🏫 teacher: light skin tone
🧑🏼‍🏫 teacher: medium-light skin tone
🧑🏽‍🏫 teacher: medium skin tone
🧑🏾‍🏫 teacher: medium-dark skin tone
🧑🏿‍🏫 teacher: dark skin tone
👨‍🏫 man teacher
👨🏻‍🏫 man teacher: light skin tone
👨🏼‍🏫 man teacher: medium-light skin tone
👨🏽‍🏫 man teacher: medium skin tone
👨🏾‍🏫 man teacher: medium-dark skin tone
👨🏿‍🏫 man teacher: dark skin tone
👩‍🏫 woman teacher
👩🏻‍🏫 woman teacher: light skin tone
👩🏼‍🏫 woman teacher: medium-light skin tone
👩🏽‍🏫 woman teacher: medium skin tone
👩🏾‍🏫 woman teacher: medium-dark skin tone
👩🏿‍🏫 woman teacher: dark skin tone
🧑‍⚖️ judge
🧑🏻‍⚖️ judge: light skin tone
🧑🏼‍⚖️ judge: medium-light skin tone
🧑🏽‍⚖️ judge: medium skin tone
🧑🏾‍⚖️ judge: medium-dark skin tone
🧑🏿‍⚖️ judge: dark skin tone
👨‍⚖️ man judge
👨🏻‍⚖️ man judge: light skin tone
👨🏼‍⚖️ man judge: medium-light skin tone
👨🏽‍⚖️ man judge: medium skin tone
👨🏾‍⚖️ man judge: medium-dark skin tone
👨🏿‍⚖️ man judge: dark skin tone
👩‍⚖️ woman judge
👩🏻‍⚖️ woman judge: light skin tone
👩🏼‍⚖️ woman judge: medium-light skin tone
👩🏽‍⚖️ woman judge: medium skin tone
👩🏾‍⚖️ woman judge: medium-dark skin tone
👩🏿‍⚖️ woman judge: dark skin tone
🧑‍🌾 farmer
🧑🏻‍🌾 farmer: light skin tone
🧑🏼‍🌾 farmer: medium-light skin tone
🧑🏽‍🌾 farmer: medium skin tone
🧑🏾‍🌾 farmer: medium-dark skin tone
🧑🏿‍🌾 farmer: dark skin tone
👨‍🌾 man farmer
👨🏻‍🌾 man farmer: light skin tone
👨🏼‍🌾 man farmer: medium-light skin tone
👨🏽‍🌾 man farmer: medium skin tone
👨🏾‍🌾 man farmer: medium-dark skin tone
👨🏿‍🌾 man farmer: dark skin tone
👩‍🌾 woman farmer
👩🏻‍🌾 woman farmer: light skin tone
👩🏼‍🌾 woman farmer: medium-light skin tone
👩🏽‍🌾 woman farmer: medium skin tone
👩🏾‍🌾 woman farmer: medium-dark skin tone
👩🏿‍🌾 woman farmer: dark skin tone
🧑‍🍳 cook
🧑🏻‍🍳 cook: light skin tone
🧑🏼‍🍳 cook: medium-light skin tone
🧑🏽‍🍳 cook: medium skin tone
🧑🏾‍🍳 cook: medium-dark skin tone
🧑🏿‍🍳 cook: dark skin tone
👨‍🍳 man cook
👨🏻‍🍳 man cook: light skin tone
👨🏼‍🍳 man cook: medium-light skin tone
👨🏽‍🍳 man cook: medium skin tone
👨🏾‍🍳 man cook: medium-dark skin tone
👨🏿‍🍳 man cook: dark skin tone
👩‍🍳 woman cook
👩🏻‍🍳 woman cook: light skin tone
👩🏼‍🍳 woman cook: medium-light skin tone
👩🏽‍🍳 woman cook: medium skin tone
👩🏾‍🍳 woman cook: medium-dark skin tone
👩🏿‍🍳 woman cook: dark skin tone
🧑‍🔧 mechanic
🧑🏻‍🔧 mechanic: light skin tone
🧑🏼‍🔧 mechanic: medium-light skin tone
🧑🏽‍🔧 mechanic: medium skin tone
🧑🏾‍🔧 mechanic: medium-dark skin tone
🧑🏿‍🔧 mechanic: dark skin tone
👨‍🔧 man mechanic
👨🏻‍🔧 man mechanic: light skin tone
👨🏼‍🔧 man mechanic: medium-light skin tone
👨🏽‍🔧 man mechanic: medium skin tone
👨🏾‍🔧 man mechanic: medium-dark skin tone
👨🏿‍🔧 man mechanic: dark skin tone
👩‍🔧 woman mechanic
👩🏻‍🔧 woman mechanic: light skin tone
👩🏼‍🔧 woman mechanic: medium-light skin tone
👩🏽‍🔧 woman mechanic: medium skin tone
👩🏾‍🔧 woman mechanic: medium-dark skin tone
👩🏿‍🔧 woman mechanic: dark skin tone
🧑‍🏭 factory worker
🧑🏻‍🏭 factory worker: light skin tone
🧑🏼‍🏭 factory worker: medium-light skin tone
🧑🏽‍🏭 factory worker: medium skin tone
🧑🏾‍🏭 factory worker: medium-dark skin tone
🧑🏿‍🏭 factory worker: dark skin tone
👨‍🏭 man factory worker
👨🏻‍🏭 man factory worker: light skin tone
👨🏼‍🏭 man factory worker: medium-light skin tone
👨🏽‍🏭 man factory worker: medium skin tone
👨🏾‍🏭 man factory worker: medium-dark skin tone
👨🏿‍🏭 man factory worker: dark skin tone
👩‍🏭 woman factory worker
👩🏻‍🏭 woman factory worker: light skin tone
👩🏼‍🏭 woman factory worker: medium-light skin tone
👩🏽‍🏭 woman factory worker: medium skin tone
👩🏾‍🏭 woman factory worker: medium-dark skin tone
👩🏿‍🏭 woman factory worker: dark skin tone
🧑‍💼 office worker
🧑🏻‍💼 office worker: light skin tone
🧑🏼‍💼 office worker: medium-light skin tone
🧑🏽‍💼 office worker: medium skin tone
🧑🏾‍💼 office worker: medium-dark skin tone
🧑🏿‍💼 office worker: dark skin tone
👨‍💼 man office worker
👨🏻‍💼 man office worker: light skin tone
👨🏼‍💼 man office worker: medium-light skin tone
👨🏽‍💼 man office worker: medium skin tone
👨🏾‍💼 man office worker: medium-dark skin tone
👨🏿‍💼 man office worker: dark skin tone
👩‍💼 woman office worker
👩🏻‍💼 woman office worker: light skin tone
👩🏼‍💼 woman office worker: medium-light skin tone
👩🏽‍💼 woman office worker: medium skin tone
👩🏾‍💼 woman office worker: medium-dark skin tone
👩🏿‍💼 woman office worker: dark skin tone
🧑‍🔬 scientist
🧑🏻‍🔬 scientist: light skin tone
🧑🏼‍🔬 scientist: medium-light skin tone
🧑🏽‍🔬 scientist: medium skin tone
🧑🏾‍🔬 scientist: medium-dark skin tone
🧑🏿‍🔬 scientist: dark skin tone
👨‍🔬 man scientist
👨🏻‍🔬 man scientist: light skin tone
👨🏼‍🔬 man scientist: medium-light skin tone
👨🏽‍🔬 man scientist: medium skin tone
👨🏾‍🔬 man scientist: medium-dark skin tone
👨🏿‍🔬 man scientist: dark skin tone
👩‍🔬 woman scientist
👩🏻‍🔬 woman scientist: light skin tone
👩🏼‍🔬 woman scientist: medium-light skin tone
👩🏽‍🔬 woman scientist: medium skin tone
👩🏾‍🔬 woman scientist: medium-dark skin tone
👩🏿‍🔬 woman scientist: dark skin tone
🧑‍💻 technologist
🧑🏻‍💻 technologist: light skin tone
🧑🏼‍💻 technologist: medium-light skin tone
🧑🏽‍💻 technologist: medium skin tone
🧑🏾‍💻 technologist: medium-dark skin tone
🧑🏿‍💻 technologist: dark skin tone
👨‍💻 man technologist
👨🏻‍💻 man technologist: light skin tone
👨🏼‍💻 man technologist: medium-light skin tone
